artifact_id,region_id,month,product_id,observation_status,detected_cell_days,valid_cell_days,eligible_land_cell_days,support_fraction,rate_per_1000,comparison_status
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-01,myd14a1_061_aqua,available,43,1240,1378,0.899855,34.6774,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-01,vnp14a1_002_suomi_npp,no_observation,,0,1421,0.0,,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-02,myd14a1_061_aqua,available,59,1242,1395,0.890323,47.504,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-02,vnp14a1_002_suomi_npp,available,56,1189,1307,0.909717,47.0984,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-03,myd14a1_061_aqua,available,63,1246,1416,0.879944,50.5618,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-03,vnp14a1_002_suomi_npp,available,68,1418,1493,0.949766,47.9549,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-04,myd14a1_061_aqua,available,65,1229,1336,0.91991,52.8885,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-04,vnp14a1_002_suomi_npp,available,70,1234,1327,0.929917,56.7261,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-05,myd14a1_061_aqua,available,56,1292,1485,0.870034,43.3437,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-05,vnp14a1_002_suomi_npp,available,64,1261,1342,0.939642,50.7534,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-06,myd14a1_061_aqua,available,54,1291,1434,0.900279,41.828,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-06,vnp14a1_002_suomi_npp,available,62,1302,1463,0.889952,47.619,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-07,myd14a1_061_aqua,available,38,1272,1446,0.879668,29.8742,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-07,vnp14a1_002_suomi_npp,available,42,1346,1479,0.910074,31.2036,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-08,myd14a1_061_aqua,available,39,1237,1359,0.910228,31.5279,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-08,vnp14a1_002_suomi_npp,available,37,1377,1481,0.929777,26.87,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-09,myd14a1_061_aqua,available,23,1295,1472,0.879755,17.7606,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-09,vnp14a1_002_suomi_npp,available,33,1248,1356,0.920354,26.4423,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-10,myd14a1_061_aqua,available,15,1256,1351,0.929682,11.9427,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-10,vnp14a1_002_suomi_npp,available,16,1377,1481,0.929777,11.6195,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-11,myd14a1_061_aqua,available,11,1213,1363,0.889949,9.0684,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-11,vnp14a1_002_suomi_npp,available,7,1219,1401,0.870093,5.7424,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-12,myd14a1_061_aqua,available,16,1384,1472,0.940217,11.5607,calibration_not_released
art_local_demo_contract_0001,region_chattogram_hills_r1,2013-12,vnp14a1_002_suomi_npp,available,7,1312,1458,0.899863,5.3354,calibration_not_released
