artifact_id,region_id,month,product_id,observation_status,detected_cell_days,valid_cell_days,eligible_land_cell_days,support_fraction,rate_per_1000,comparison_status
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-01,myd14a1_061_aqua,available,56,1355,1489,0.910007,41.3284,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-01,vnp14a1_002_suomi_npp,no_observation,,0,1350,0.0,,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-02,myd14a1_061_aqua,available,69,1221,1403,0.870278,56.5111,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-02,vnp14a1_002_suomi_npp,available,66,1168,1343,0.869695,56.5068,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-03,myd14a1_061_aqua,available,48507,32421254,37699133,0.86,1.4961,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-03,vnp14a1_002_suomi_npp,available,37020,33421101,37978524,0.88,1.1077,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-04,myd14a1_061_aqua,available,69,1320,1483,0.890088,52.2727,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-04,vnp14a1_002_suomi_npp,available,62,1204,1353,0.889874,51.495,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-05,myd14a1_061_aqua,available,49,1261,1417,0.889908,38.858,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-05,vnp14a1_002_suomi_npp,available,50,1421,1512,0.939815,35.1865,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-06,myd14a1_061_aqua,available,53,1279,1405,0.91032,41.4386,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-06,vnp14a1_002_suomi_npp,available,40,1360,1495,0.909699,29.4118,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-07,myd14a1_061_aqua,available,36,1290,1372,0.940233,27.907,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-07,vnp14a1_002_suomi_npp,available,43,1170,1345,0.869888,36.7521,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-08,myd14a1_061_aqua,available,29,1283,1475,0.869831,22.6033,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-08,vnp14a1_002_suomi_npp,available,33,1161,1335,0.869663,28.4238,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-09,myd14a1_061_aqua,available,19,1389,1478,0.939783,13.6789,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-09,vnp14a1_002_suomi_npp,available,29,1163,1322,0.879728,24.9355,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-10,myd14a1_061_aqua,available,7,1402,1492,0.939678,4.9929,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-10,vnp14a1_002_suomi_npp,available,18,1342,1413,0.949752,13.4128,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-11,myd14a1_061_aqua,available,21,1377,1449,0.950311,15.2505,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-11,vnp14a1_002_suomi_npp,available,22,1358,1429,0.950315,16.2003,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-12,myd14a1_061_aqua,available,22,1304,1373,0.949745,16.8712,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2013-12,vnp14a1_002_suomi_npp,available,6,1312,1458,0.899863,4.5732,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-01,myd14a1_061_aqua,available,62,1270,1380,0.92029,48.8189,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-01,vnp14a1_002_suomi_npp,available,51,1285,1494,0.860107,39.6887,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-02,myd14a1_061_aqua,available,58,1249,1452,0.860193,46.4371,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-02,vnp14a1_002_suomi_npp,available,71,1250,1330,0.93985,56.8,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-03,myd14a1_061_aqua,available,42384,31472454,36595877,0.86,1.3467,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-03,vnp14a1_002_suomi_npp,available,32839,32650066,37102348,0.88,1.0058,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-04,myd14a1_061_aqua,available,58,1248,1356,0.920354,46.4744,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-04,vnp14a1_002_suomi_npp,available,67,1342,1428,0.939776,49.9255,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-05,myd14a1_061_aqua,available,48,1339,1488,0.899866,35.8476,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-05,vnp14a1_002_suomi_npp,available,56,1202,1366,0.879941,46.589,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-06,myd14a1_061_aqua,available,52,1318,1464,0.900273,39.4537,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-06,vnp14a1_002_suomi_npp,available,49,1187,1380,0.860145,41.2805,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-07,myd14a1_061_aqua,available,43,1205,1385,0.870036,35.6846,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-07,vnp14a1_002_suomi_npp,available,38,1242,1350,0.92,30.5958,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-08,myd14a1_061_aqua,available,38,1251,1360,0.919853,30.3757,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-08,vnp14a1_002_suomi_npp,available,33,1346,1479,0.910074,24.5171,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-09,myd14a1_061_aqua,available,28,1294,1406,0.920341,21.6383,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-09,vnp14a1_002_suomi_npp,available,17,1249,1403,0.890235,13.6109,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-10,myd14a1_061_aqua,available,18,1292,1485,0.870034,13.9319,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-10,vnp14a1_002_suomi_npp,available,11,1242,1350,0.92,8.8567,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-11,myd14a1_061_aqua,available,11,1258,1413,0.890304,8.744,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-11,vnp14a1_002_suomi_npp,available,17,1234,1402,0.880171,13.7763,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-12,myd14a1_061_aqua,available,22,1246,1416,0.879944,17.6565,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2014-12,vnp14a1_002_suomi_npp,available,22,1246,1369,0.910153,17.6565,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-01,myd14a1_061_aqua,available,62,1261,1342,0.939642,49.1673,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-01,vnp14a1_002_suomi_npp,available,62,1380,1453,0.949759,44.9275,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-02,myd14a1_061_aqua,available,56,1271,1397,0.909807,44.0598,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-02,vnp14a1_002_suomi_npp,available,64,1189,1382,0.860347,53.8267,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-03,myd14a1_061_aqua,available,50859,31362997,36468601,0.86,1.6216,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-03,vnp14a1_002_suomi_npp,available,36786,33979836,38613450,0.88,1.0826,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-04,myd14a1_061_aqua,available,56,1275,1386,0.919913,43.9216,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-04,vnp14a1_002_suomi_npp,available,70,1342,1428,0.939776,52.161,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-05,myd14a1_061_aqua,available,64,1349,1451,0.929704,47.4426,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-05,vnp14a1_002_suomi_npp,available,64,1270,1427,0.889979,50.3937,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-06,myd14a1_061_aqua,available,54,1175,1351,0.869726,45.9574,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-06,vnp14a1_002_suomi_npp,available,44,1291,1434,0.900279,34.0821,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-07,myd14a1_061_aqua,available,45,1264,1389,0.910007,35.6013,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-07,vnp14a1_002_suomi_npp,available,33,1214,1395,0.870251,27.1829,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-08,myd14a1_061_aqua,available,25,1164,1354,0.859675,21.4777,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-08,vnp14a1_002_suomi_npp,available,40,1371,1490,0.920134,29.1758,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-09,myd14a1_061_aqua,available,17,1424,1499,0.949967,11.9382,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-09,vnp14a1_002_suomi_npp,available,22,1376,1496,0.919786,15.9884,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-10,myd14a1_061_aqua,available,21,1306,1420,0.919718,16.0796,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-10,vnp14a1_002_suomi_npp,available,19,1213,1348,0.899852,15.6636,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-11,myd14a1_061_aqua,available,24,1236,1421,0.86981,19.4175,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-11,vnp14a1_002_suomi_npp,available,21,1315,1445,0.910035,15.9696,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-12,myd14a1_061_aqua,available,21,1247,1341,0.929903,16.8404,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2015-12,vnp14a1_002_suomi_npp,available,23,1271,1352,0.940089,18.096,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-01,myd14a1_061_aqua,available,55,1308,1486,0.880215,42.0489,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-01,vnp14a1_002_suomi_npp,available,57,1220,1386,0.880231,46.7213,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-02,myd14a1_061_aqua,available,66,1357,1444,0.939751,48.6367,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-02,vnp14a1_002_suomi_npp,available,70,1302,1431,0.909853,53.7634,insufficient_overlap
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-03,myd14a1_061_aqua,available,30199,30602772,35584619,0.86,0.9868,available
art_science_demo_contract_0001,region_ne_india_myanmar_r1,2016-03,vnp14a1_002_suomi_npp,available,25187,31915168,36267236,0.88,0.7892,available
