year,month,period,modis_granules,modis_days_counted,modis_detected,modis_valid_land,modis_rate_per_1000,viirs_granules,viirs_days_counted,viirs_detected,viirs_valid_land,viirs_rate_per_1000,viirs_to_modis_ratio
2013,3,2013-03,5,31,48507,32421254,1.4961,31,31,37020,33421101,1.1077,0.7404
2014,3,2014-03,5,31,42384,31472454,1.3467,31,31,32839,32650066,1.0058,0.7469
2015,3,2015-03,5,29,50859,31362997,1.6216,31,31,36786,33979836,1.0826,0.6676
2016,3,2016-03,5,31,30199,30602772,0.9868,31,31,25187,31915168,0.7892,0.7997
2017,3,2017-03,5,31,17204,29371274,0.5857,31,31,14810,30575383,0.4844,0.8269
2018,3,2018-03,5,31,39279,31560521,1.2446,31,31,27640,32687648,0.8456,0.6794
2019,3,2019-03,5,31,36102,31344852,1.1518,31,31,28100,32364120,0.8682,0.7538
2020,3,2020-03,5,31,42332,32080582,1.3196,31,31,31947,33183088,0.9627,0.7296
2021,3,2021-03,5,31,51386,31943062,1.6087,31,31,36986,32883538,1.1248,0.6992
2022,3,2022-03,5,31,38741,33107211,1.1702,31,31,27478,34637653,0.7933,0.6779
2023,3,2023-03,5,31,25282,28428332,0.8893,31,31,19526,30194455,0.6467,0.7272
2024,3,2024-03,5,31,24565,30123482,0.8155,31,31,18347,32236713,0.5691,0.6979
