latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.95029,100.13246,333.58,0.36,0.58,2026-09-17,0610,N,nominal,2.0NRT,287.1,2.69,D
15.12282,100.2106,340.57,0.36,0.57,2026-09-17,0610,N,nominal,2.0NRT,280.48,4.28,D
16.04752,99.93202,326.85,0.36,0.57,2026-09-17,0610,N,nominal,2.0NRT,278.11,2.12,D
16.0731,99.79508,328.03,0.37,0.58,2026-09-17,0610,N,nominal,2.0NRT,284.63,1.77,D
22.87441,100.26229,331.32,0.51,0.49,2026-09-17,0612,N,nominal,2.0NRT,292.36,3.12,D
24.5746,97.80923,328.15,0.33,0.55,2026-09-17,0612,N,nominal,2.0NRT,293.16,1.01,D
25.39365,100.45975,325.83,0.44,0.46,2026-09-17,0612,N,low,2.0NRT,298.19,4.78,D
25.70676,101.87003,331.66,0.55,0.42,2026-09-17,0614,N,nominal,2.0NRT,300.48,2.62,D
25.70715,101.86842,333.29,0.55,0.42,2026-09-17,0614,N,nominal,2.0NRT,300.09,3.27,D
26.56336,101.67379,329.06,0.54,0.42,2026-09-17,0614,N,low,2.0NRT,300.7,5.55,D
26.57497,101.67155,325.39,0.54,0.42,2026-09-17,0614,N,low,2.0NRT,297.97,2.44,D
26.62162,101.59955,332.95,0.55,0.42,2026-09-17,0614,N,nominal,2.0NRT,298.1,11.9,D
26.6214,101.59765,346.35,0.55,0.42,2026-09-17,0614,N,nominal,2.0NRT,298.37,12.33,D
38.70399,100.50544,337.2,0.42,0.37,2026-09-17,0616,N,nominal,2.0NRT,305.2,2.53,D
39.39781,99.89793,338.12,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,308.55,2.29,D
39.39693,99.89305,343.26,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,307.78,3.31,D
39.40123,99.89691,339.21,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,310.76,3.45,D
39.40035,99.89204,357.43,0.43,0.38,2026-09-17,0616,N,low,2.0NRT,302.35,7.78,D
39.58619,99.74763,367,0.43,0.38,2026-09-17,0616,N,high,2.0NRT,314.92,5.45,D
39.58707,99.75253,342.27,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,316.3,6.45,D
39.58961,99.74658,351.86,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,315.07,5.45,D
39.60811,99.68909,338.85,0.43,0.38,2026-09-17,0616,N,nominal,2.0NRT,306.46,2.89,D
39.80669,98.53618,332.35,0.47,0.39,2026-09-17,0616,N,nominal,2.0NRT,305.79,2.4,D
39.80991,98.29936,334.48,0.47,0.4,2026-09-17,0616,N,low,2.0NRT,306.75,3.88,D
39.83154,98.2346,331.52,0.48,0.4,2026-09-17,0616,N,low,2.0NRT,305.17,1.85,D
7.9664,79.94561,337.08,0.44,0.46,2026-09-17,0750,N,nominal,2.0NRT,294.15,3.26,D
8.5661,77.67891,346.14,0.6,0.53,2026-09-17,0750,N,nominal,2.0NRT,296.67,10.23,D
8.56332,77.68252,335.26,0.6,0.53,2026-09-17,0750,N,nominal,2.0NRT,296.11,5.63,D
9.78933,80.15058,337.65,0.4,0.44,2026-09-17,0750,N,nominal,2.0NRT,293.66,4.45,D
10.94808,77.369,332.82,0.58,0.52,2026-09-17,0750,N,nominal,2.0NRT,292.75,2.59,D
11.70747,79.19976,330.48,0.43,0.46,2026-09-17,0750,N,nominal,2.0NRT,298.27,1.48,D
11.84172,79.02304,330.67,0.44,0.46,2026-09-17,0750,N,nominal,2.0NRT,297.19,2.11,D
11.84093,79.02319,332.41,0.43,0.46,2026-09-17,0750,N,nominal,2.0NRT,297.32,2.79,D
14.11936,77.71715,331.89,0.48,0.48,2026-09-17,0752,N,nominal,2.0NRT,300.8,6.82,D
14.0709,77.2552,337.19,0.52,0.5,2026-09-17,0752,N,nominal,2.0NRT,300.64,5.6,D
