latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-3.29574,133.90855,310.57,3.25,1.7,2026-09-17,0016,T,40,6.1NRT,294.09,46.04,D
-3.07635,130.26678,324.02,1.63,1.26,2026-09-17,0016,T,80,6.1NRT,298.25,31.62,D
-3.0774,130.26071,319.07,1.63,1.26,2026-09-17,0016,T,70,6.1NRT,298.06,19.67,D
-3.07933,130.27513,315.65,1.64,1.26,2026-09-17,0016,T,40,6.1NRT,298.72,13.58,D
-2.9194,128.86647,312.82,1.29,1.13,2026-09-17,0016,T,51,6.1NRT,297.73,10.2,D
-2.93045,128.94624,315.98,1.31,1.14,2026-09-17,0016,T,72,6.1NRT,298.48,13.53,D
1.51552,127.94286,311.71,1.05,1.02,2026-09-17,0013,T,67,6.1NRT,297.75,5.23,D
-2.91681,128.77522,311.96,1.28,1.12,2026-09-17,0016,T,48,6.1NRT,297.81,8.02,D
1.49459,127.63593,319.56,1.03,1.01,2026-09-17,0013,T,77,6.1NRT,294.25,15.83,D
-2.93962,128.79437,310.42,1.28,1.12,2026-09-17,0016,T,25,6.1NRT,297.06,7.64,D
1.54994,125.1829,314.06,1.06,1.03,2026-09-17,0013,T,47,6.1NRT,291.78,9.97,D
-3.13894,128.04311,319.3,1.17,1.07,2026-09-17,0016,T,70,6.1NRT,297.88,15.3,D
1.53952,125.19134,348.82,1.06,1.03,2026-09-17,0013,T,95,6.1NRT,289.98,62.02,D
-3.14037,128.05312,314.18,1.17,1.08,2026-09-17,0016,T,34,6.1NRT,296.38,9.68,D
0.8889,128.25574,319.88,1.09,1.04,2026-09-17,0013,T,76,6.1NRT,296.84,15.67,D
-3.14343,128.03647,310.68,1.17,1.07,2026-09-17,0016,T,49,6.1NRT,296.63,8.49,D
0.84632,128.23454,313.16,1.09,1.04,2026-09-17,0013,T,50,6.1NRT,297.67,8.59,D
0.71911,127.89835,308,1.06,1.03,2026-09-17,0013,T,40,6.1NRT,290.16,4.47,D
-3.08699,126.77265,311.71,1.04,1.02,2026-09-17,0016,T,29,6.1NRT,297.66,5.98,D
0.58272,127.94903,314.38,1.07,1.03,2026-09-17,0013,T,61,6.1NRT,294.54,8.26,D
-3.15752,126.74775,309.55,1.03,1.02,2026-09-17,0016,T,25,6.1NRT,291.65,5.25,D
0.79068,124.03564,308.26,1.18,1.08,2026-09-17,0013,T,57,6.1NRT,292.02,6.67,D
0.82762,123.56389,326.69,1.25,1.11,2026-09-17,0013,T,83,6.1NRT,297.86,24.3,D
-3.27139,126.9021,319.17,1.05,1.02,2026-09-17,0016,T,77,6.1NRT,297.92,12.96,D
0.81777,123.5631,314.77,1.25,1.11,2026-09-17,0013,T,63,6.1NRT,297.14,8.77,D
-0.2285,127.68726,313.13,1.06,1.03,2026-09-17,0013,T,50,6.1NRT,296.48,8.46,D
-3.25726,126.73678,308.72,1.04,1.02,2026-09-17,0016,T,40,6.1NRT,292.17,5.64,D
-0.64595,123.05107,310.55,1.29,1.13,2026-09-17,0013,T,30,6.1NRT,295.72,7.25,D
-3.32767,126.78268,314.52,1.04,1.02,2026-09-17,0016,T,35,6.1NRT,295.57,8.32,D
-2.13426,132.41898,310.83,2.34,1.48,2026-09-17,0013,T,45,6.1NRT,293.75,16.77,D
-1.56608,127.42922,316.92,1.06,1.03,2026-09-17,0013,T,66,6.1NRT,298.14,10.85,D
-3.38846,127.20787,310.75,1.07,1.03,2026-09-17,0016,T,57,6.1NRT,296.05,5.58,D
-0.9902,122.3098,308.07,1.43,1.18,2026-09-17,0013,T,61,6.1NRT,292.15,10.13,D
-3.38981,127.21726,310.54,1.07,1.03,2026-09-17,0016,T,65,6.1NRT,296.87,5.43,D
