latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-11.40375,153.3076,328.96,0.65,0.73,2026-09-17,0241,N,nominal,2.0NRT,291.44,4.99,D
-9.23858,152.89171,326.26,0.65,0.73,2026-09-17,0241,N,nominal,2.0NRT,290.71,4.12,D
-1.16337,131.28265,340.26,0.55,0.51,2026-09-17,0423,N,nominal,2.0NRT,299.38,7.31,D
-0.73228,133.57788,330.83,0.39,0.44,2026-09-17,0423,N,nominal,2.0NRT,297.23,3.76,D
-0.73281,133.57442,340,0.39,0.44,2026-09-17,0423,N,nominal,2.0NRT,297.04,3.76,D
-1.02161,131.28905,343.58,0.55,0.51,2026-09-17,0423,N,nominal,2.0NRT,299.34,6.09,D
-1.02037,131.28749,351.21,0.55,0.51,2026-09-17,0423,N,nominal,2.0NRT,298.14,9.6,D
-1.56384,127.42631,330.48,0.52,0.66,2026-09-17,0423,N,nominal,2.0NRT,299.47,4.16,D
-1.45183,127.58882,338.19,0.5,0.66,2026-09-17,0423,N,nominal,2.0NRT,291.46,3.71,D
-1.45665,127.43525,341.53,0.51,0.66,2026-09-17,0423,N,nominal,2.0NRT,291.78,6.16,D
-0.66047,131.91585,331.11,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,296.84,4.37,D
-0.64965,131.95636,336.17,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,299.48,4.93,D
-0.65166,131.94327,328.96,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,300.04,2.82,D
-0.65602,131.91495,332.28,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,299.48,4.37,D
-0.64393,131.96373,334.17,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,299.66,6.04,D
-0.63882,131.96719,343.26,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,301.15,8.64,D
-0.63436,131.96642,333.85,0.49,0.49,2026-09-17,0423,N,nominal,2.0NRT,301.78,3.81,D
-0.06267,129.61438,339.24,0.35,0.56,2026-09-17,0423,N,nominal,2.0NRT,296.06,3.06,D
0.48237,127.99207,334.38,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,298.49,8.89,D
0.48754,127.98737,330.07,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,297.58,9.42,D
0.48744,127.98705,329.72,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,297.33,9.98,D
0.48683,127.98331,327.89,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,297.33,7.26,D
0.58865,127.9547,326.85,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,296.07,5.3,D
0.58936,127.9548,327.84,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,295.89,5.87,D
0.62492,127.8817,329.76,0.44,0.63,2026-09-17,0423,N,nominal,2.0NRT,293.04,3.32,D
0.70076,128.24631,367,0.42,0.61,2026-09-17,0423,N,high,2.0NRT,298.26,15.85,D
0.70121,128.24913,339.59,0.42,0.61,2026-09-17,0423,N,nominal,2.0NRT,296.41,15.85,D
0.70021,128.24283,327.93,0.42,0.61,2026-09-17,0423,N,nominal,2.0NRT,293.81,10.71,D
0.70698,127.83698,367,0.45,0.63,2026-09-17,0423,N,high,2.0NRT,296.03,11.26,D
0.71434,127.88472,345.54,0.44,0.63,2026-09-17,0423,N,nominal,2.0NRT,295.11,8.53,D
0.70617,127.83689,367,0.45,0.63,2026-09-17,0423,N,high,2.0NRT,296.39,11.5,D
0.71389,127.88458,345.55,0.44,0.63,2026-09-17,0423,N,nominal,2.0NRT,294.45,7.62,D
1.04365,128.20912,344.62,0.42,0.61,2026-09-17,0423,N,nominal,2.0NRT,291.12,7.07,D
1.24127,127.8483,355.85,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,298.09,7.73,D
1.24233,127.84821,354.89,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,297.76,9.37,D
1.2481,127.84745,328.71,0.44,0.62,2026-09-17,0423,N,nominal,2.0NRT,295.96,1.52,D
1.39603,128.22652,335.14,0.41,0.61,2026-09-17,0423,N,nominal,2.0NRT,296.36,5.98,D
1.39392,128.22839,329.77,0.41,0.61,2026-09-17,0423,N,nominal,2.0NRT,295.45,5.22,D
1.42859,127.94231,367,0.43,0.62,2026-09-17,0423,N,high,2.0NRT,299.76,9.54,D
1.42817,127.86607,327.32,0.43,0.62,2026-09-17,0423,N,nominal,2.0NRT,296.6,2.21,D
1.4587,127.98505,329.68,0.42,0.61,2026-09-17,0423,N,nominal,2.0NRT,296.56,3.14,D
